event_id,timestamp,session_id,user_id,site_domain,event_type,recipient_domain,recipient_declared,data_types_sent,cookie_name,cookie_declared,purpose_observed,purpose_declared,consent_state_at_request,violation_label,severity
evt_61,2026-03-25T10:02:36Z,sess_1013,user_022,shop-example.com,network_request,ads.net,False,"['ip', 'ua', 'url']",session_id,False,essential,essential,denied,none,none
evt_62,2026-03-25T10:01:38Z,sess_1014,user_022,news-example.com,script_load,ads.net,True,"['ip', 'ua', 'url']",_gid,True,analytics,essential,denied,consent_bypass,medium
evt_63,2026-03-25T10:04:28Z,sess_1014,user_022,news-example.com,script_load,ads.net,True,"['ip', 'ua']",session_id,True,ads,analytics,denied,none,none
evt_64,2026-03-25T10:01:04Z,sess_1014,user_022,news-example.com,script_load,ads.net,True,"['ip', 'ua']",session_id,True,essential,ads,denied,data_minimization_violation,low
evt_65,2026-03-25T10:04:00Z,sess_1014,user_022,news-example.com,page_load,tracker.io,False,"['ip', 'url']",_gid,True,ads,ads,denied,none,none
evt_66,2026-03-25T10:03:25Z,sess_1014,user_022,news-example.com,page_load,tracker.io,True,"['ip', 'ua', 'url']",_ga,True,analytics,essential,denied,none,none
evt_67,2026-03-25T10:01:55Z,sess_1015,user_020,shop-example.com,cookie_set,tracker.io,False,"['ip', 'url']",session_id,False,ads,essential,granted,none,none
evt_68,2026-03-25T10:00:50Z,sess_1015,user_020,shop-example.com,cookie_set,analytics.com,True,"['ip', 'url']",_ga,True,analytics,analytics,granted,purpose_mismatch,high
evt_69,2026-03-25T10:03:50Z,sess_1015,user_020,shop-example.com,page_load,tracker.io,False,"['ip', 'ua']",_gid,False,essential,ads,granted,derived_data_undeclared,high
evt_70,2026-03-25T10:01:41Z,sess_1016,user_030,shop-example.com,cookie_set,tracker.io,True,"['ip', 'ua', 'url']",_gid,True,ads,analytics,granted,none,none
evt_71,2026-03-25T10:02:37Z,sess_1016,user_030,shop-example.com,page_load,ads.net,False,"['ip', 'ua']",,False,essential,ads,granted,passive_data_leak,medium
evt_72,2026-03-25T10:03:44Z,sess_1016,user_030,shop-example.com,cookie_set,firstparty.com,True,"['ip', 'url']",session_id,False,analytics,analytics,granted,none,none
evt_73,2026-03-25T10:04:54Z,sess_1016,user_030,shop-example.com,consent_update,firstparty.com,False,"['ip', 'ua', 'url']",_ga,True,ads,essential,granted,none,none
evt_74,2026-03-25T10:01:32Z,sess_1016,user_030,shop-example.com,network_request,tracker.io,False,"['ip', 'ua']",,False,ads,ads,granted,none,none
evt_75,2026-03-25T10:04:13Z,sess_1017,user_021,media-example.com,script_load,ads.net,False,"['ip', 'ua', 'url']",_ga,False,analytics,ads,granted,none,none
evt_76,2026-03-25T10:03:26Z,sess_1017,user_021,media-example.com,script_load,firstparty.com,False,"['ip', 'url']",_ga,True,essential,ads,granted,none,none
evt_77,2026-03-25T10:03:46Z,sess_1017,user_021,media-example.com,cookie_set,firstparty.com,True,"['ip', 'url']",_gid,False,ads,essential,granted,none,none
evt_78,2026-03-25T10:02:02Z,sess_1017,user_021,media-example.com,network_request,analytics.com,False,"['ip', 'ua', 'url']",_ga,False,analytics,analytics,granted,purpose_mismatch,low
evt_79,2026-03-25T10:02:19Z,sess_1018,user_030,shop-example.com,script_load,tracker.io,False,"['ip', 'url']",_gid,False,essential,analytics,granted,none,none
evt_80,2026-03-25T10:04:20Z,sess_1018,user_030,shop-example.com,network_request,analytics.com,True,"['ip', 'url']",,False,essential,ads,granted,data_minimization_violation,low
evt_81,2026-03-25T10:05:00Z,sess_1018,user_030,shop-example.com,script_load,tracker.io,True,"['ip', 'url']",,False,ads,essential,granted,none,none
evt_82,2026-03-25T10:02:44Z,sess_1018,user_030,shop-example.com,cookie_set,analytics.com,True,"['ip', 'ua', 'url']",,True,ads,analytics,granted,none,none
evt_83,2026-03-25T10:03:15Z,sess_1018,user_030,shop-example.com,script_load,tracker.io,True,"['ip', 'url']",_ga,True,essential,essential,granted,none,none
evt_84,2026-03-25T10:03:45Z,sess_1018,user_030,shop-example.com,script_load,firstparty.com,False,"['ip', 'ua']",_gid,False,essential,analytics,granted,none,none
evt_85,2026-03-25T10:00:41Z,sess_1019,user_005,news-example.com,cookie_set,ads.net,False,"['ip', 'url']",,True,essential,analytics,denied,none,none
evt_86,2026-03-25T10:02:27Z,sess_1019,user_005,news-example.com,consent_update,analytics.com,True,"['ip', 'url']",_ga,True,ads,analytics,denied,none,none
evt_87,2026-03-25T10:00:23Z,sess_1019,user_005,news-example.com,script_load,ads.net,True,"['ip', 'url']",session_id,False,ads,analytics,denied,none,none
evt_88,2026-03-25T10:04:49Z,sess_1019,user_005,news-example.com,consent_update,analytics.com,True,"['ip', 'ua']",_ga,False,essential,essential,denied,none,none
evt_89,2026-03-25T10:04:58Z,sess_1019,user_005,news-example.com,consent_update,analytics.com,True,"['ip', 'url']",session_id,False,ads,essential,denied,none,none
evt_90,2026-03-25T10:02:56Z,sess_1020,user_001,news-example.com,page_load,ads.net,False,"['ip', 'ua', 'url']",session_id,False,ads,analytics,denied,none,none
evt_91,2026-03-25T10:00:54Z,sess_1020,user_001,news-example.com,network_request,analytics.com,False,"['ip', 'ua', 'url']",session_id,False,essential,ads,denied,none,none
evt_92,2026-03-25T10:03:22Z,sess_1020,user_001,news-example.com,page_load,ads.net,True,"['ip', 'ua', 'url']",_ga,False,ads,analytics,denied,none,none
evt_93,2026-03-25T10:01:52Z,sess_1020,user_001,news-example.com,cookie_set,analytics.com,False,"['ip', 'ua', 'url']",_gid,True,essential,essential,denied,none,none
evt_94,2026-03-25T10:01:07Z,sess_1021,user_003,news-example.com,cookie_set,firstparty.com,False,"['ip', 'url']",,True,analytics,analytics,denied,none,none
evt_95,2026-03-25T10:03:07Z,sess_1021,user_003,news-example.com,cookie_set,ads.net,True,"['ip', 'url']",,False,essential,ads,denied,none,none
evt_96,2026-03-25T10:00:38Z,sess_1021,user_003,news-example.com,page_load,analytics.com,True,"['ip', 'ua', 'url']",,False,analytics,ads,denied,none,none
evt_97,2026-03-25T10:02:14Z,sess_1022,user_001,news-example.com,script_load,tracker.io,False,"['ip', 'ua']",_gid,False,analytics,essential,granted,none,none
evt_98,2026-03-25T10:01:53Z,sess_1022,user_001,news-example.com,cookie_set,firstparty.com,False,"['ip', 'ua', 'url']",session_id,False,analytics,analytics,granted,none,none
evt_99,2026-03-25T10:02:35Z,sess_1022,user_001,news-example.com,page_load,tracker.io,True,"['ip', 'ua']",_gid,True,ads,ads,granted,none,none
evt_100,2026-03-25T10:04:36Z,sess_1022,user_001,news-example.com,script_load,tracker.io,True,"['ip', 'url']",_ga,False,essential,ads,granted,none,none
evt_101,2026-03-25T10:01:51Z,sess_1022,user_001,news-example.com,script_load,tracker.io,False,"['ip', 'ua']",session_id,True,essential,ads,granted,undeclared_cookie,high
evt_102,2026-03-25T10:01:37Z,sess_1022,user_001,news-example.com,script_load,firstparty.com,False,"['ip', 'ua']",_gid,True,analytics,ads,granted,undeclared_cookie,low
evt_103,2026-03-25T10:01:59Z,sess_1023,user_009,media-example.com,cookie_set,ads.net,True,"['ip', 'ua', 'url']",_ga,False,analytics,analytics,granted,undeclared_recipient,high
evt_104,2026-03-25T10:00:56Z,sess_1023,user_009,media-example.com,script_load,firstparty.com,True,"['ip', 'ua']",session_id,True,essential,ads,granted,none,none
evt_105,2026-03-25T10:01:04Z,sess_1023,user_009,media-example.com,page_load,tracker.io,True,"['ip', 'ua', 'url']",_ga,False,ads,ads,granted,consent_bypass,high
evt_106,2026-03-25T10:04:26Z,sess_1024,user_038,shop-example.com,cookie_set,ads.net,False,"['ip', 'ua', 'url']",_ga,True,ads,ads,denied,passive_data_leak,medium
evt_107,2026-03-25T10:03:47Z,sess_1024,user_038,shop-example.com,page_load,firstparty.com,True,"['ip', 'url']",_gid,True,analytics,ads,denied,none,none
evt_108,2026-03-25T10:04:40Z,sess_1024,user_038,shop-example.com,cookie_set,ads.net,False,"['ip', 'ua', 'url']",session_id,False,essential,essential,denied,none,none
evt_109,2026-03-25T10:00:58Z,sess_1024,user_038,shop-example.com,network_request,analytics.com,False,"['ip', 'url']",_gid,False,ads,ads,denied,purpose_mismatch,medium
evt_110,2026-03-25T10:02:10Z,sess_1025,user_027,media-example.com,network_request,ads.net,True,"['ip', 'ua', 'url']",,True,analytics,analytics,granted,none,none
evt_111,2026-03-25T10:03:10Z,sess_1025,user_027,media-example.com,page_load,analytics.com,True,"['ip', 'ua', 'url']",session_id,True,ads,ads,granted,none,none
evt_112,2026-03-25T10:00:26Z,sess_1025,user_027,media-example.com,network_request,ads.net,False,"['ip', 'url']",_ga,True,analytics,essential,granted,none,none
evt_113,2026-03-25T10:02:59Z,sess_1025,user_027,media-example.com,network_request,ads.net,True,"['ip', 'url']",_gid,False,essential,essential,granted,consent_bypass,high
evt_114,2026-03-25T10:02:16Z,sess_1025,user_027,media-example.com,cookie_set,firstparty.com,True,"['ip', 'url']",session_id,False,ads,analytics,granted,purpose_mismatch,low
evt_115,2026-03-25T10:00:15Z,sess_1026,user_010,media-example.com,consent_update,firstparty.com,True,"['ip', 'url']",,False,ads,analytics,denied,none,none
evt_116,2026-03-25T10:02:46Z,sess_1026,user_010,media-example.com,script_load,firstparty.com,True,"['ip', 'ua']",_gid,True,essential,analytics,denied,none,none
evt_117,2026-03-25T10:03:37Z,sess_1026,user_010,media-example.com,script_load,tracker.io,False,"['ip', 'url']",session_id,True,essential,analytics,denied,none,none
evt_118,2026-03-25T10:02:37Z,sess_1027,user_023,news-example.com,cookie_set,firstparty.com,True,"['ip', 'url']",_ga,True,analytics,ads,granted,none,none
evt_119,2026-03-25T10:02:10Z,sess_1027,user_023,news-example.com,consent_update,ads.net,False,"['ip', 'ua']",_ga,False,essential,ads,granted,none,none
evt_120,2026-03-25T10:01:57Z,sess_1027,user_023,news-example.com,consent_update,ads.net,True,"['ip', 'url']",_ga,False,analytics,ads,granted,data_minimization_violation,low
evt_121,2026-03-25T10:04:53Z,sess_1027,user_023,news-example.com,script_load,tracker.io,False,"['ip', 'url']",_ga,False,analytics,ads,granted,none,none
evt_122,2026-03-25T10:03:55Z,sess_1027,user_023,news-example.com,consent_update,ads.net,True,"['ip', 'url']",_ga,True,ads,essential,granted,none,none
evt_123,2026-03-25T10:01:53Z,sess_1028,user_026,media-example.com,script_load,ads.net,True,"['ip', 'ua']",_ga,True,ads,ads,granted,none,none
evt_124,2026-03-25T10:02:11Z,sess_1028,user_026,media-example.com,consent_update,analytics.com,True,"['ip', 'ua', 'url']",_gid,True,analytics,essential,granted,undeclared_recipient,medium
evt_125,2026-03-25T10:04:56Z,sess_1028,user_026,media-example.com,network_request,tracker.io,False,"['ip', 'ua', 'url']",session_id,True,ads,analytics,granted,none,none
evt_126,2026-03-25T10:02:35Z,sess_1028,user_026,media-example.com,network_request,ads.net,True,"['ip', 'url']",_ga,False,ads,ads,granted,none,none
evt_127,2026-03-25T10:02:26Z,sess_1028,user_026,media-example.com,page_load,firstparty.com,True,"['ip', 'ua', 'url']",,False,essential,essential,granted,passive_data_leak,high
evt_128,2026-03-25T10:04:52Z,sess_1028,user_026,media-example.com,page_load,analytics.com,False,"['ip', 'ua', 'url']",,True,analytics,ads,granted,none,none
evt_129,2026-03-25T10:03:44Z,sess_1029,user_007,news-example.com,page_load,analytics.com,False,"['ip', 'url']",session_id,False,ads,ads,granted,derived_data_undeclared,high
evt_130,2026-03-25T10:02:51Z,sess_1029,user_007,news-example.com,cookie_set,firstparty.com,False,"['ip', 'ua']",,False,ads,essential,granted,purpose_mismatch,high
evt_131,2026-03-25T10:02:50Z,sess_1029,user_007,news-example.com,cookie_set,firstparty.com,True,"['ip', 'url']",session_id,False,analytics,essential,granted,none,none
evt_132,2026-03-25T10:03:12Z,sess_1029,user_007,news-example.com,page_load,ads.net,True,"['ip', 'ua', 'url']",_ga,False,essential,ads,granted,none,none
evt_133,2026-03-25T10:04:08Z,sess_1030,user_002,news-example.com,consent_update,analytics.com,True,"['ip', 'ua']",_gid,True,ads,analytics,denied,none,none
evt_134,2026-03-25T10:04:29Z,sess_1030,user_002,news-example.com,cookie_set,firstparty.com,False,"['ip', 'ua', 'url']",_gid,False,analytics,analytics,denied,none,none
evt_135,2026-03-25T10:01:24Z,sess_1030,user_002,news-example.com,consent_update,tracker.io,True,"['ip', 'url']",session_id,True,ads,essential,denied,none,none
evt_136,2026-03-25T10:03:49Z,sess_1030,user_002,news-example.com,script_load,analytics.com,True,"['ip', 'url']",,True,ads,essential,denied,none,none
evt_137,2026-03-25T10:03:34Z,sess_1031,user_037,news-example.com,network_request,analytics.com,True,"['ip', 'ua', 'url']",_gid,False,analytics,essential,denied,none,none
evt_138,2026-03-25T10:04:43Z,sess_1031,user_037,news-example.com,network_request,firstparty.com,True,"['ip', 'url']",_ga,True,ads,ads,denied,none,none
evt_139,2026-03-25T10:00:46Z,sess_1031,user_037,news-example.com,cookie_set,analytics.com,False,"['ip', 'url']",_ga,False,analytics,ads,denied,derived_data_undeclared,high
evt_140,2026-03-25T10:03:11Z,sess_1031,user_037,news-example.com,script_load,analytics.com,True,"['ip', 'url']",_ga,False,analytics,analytics,denied,consent_bypass,low
evt_141,2026-03-25T10:04:01Z,sess_1031,user_037,news-example.com,script_load,analytics.com,False,"['ip', 'url']",_ga,True,analytics,ads,denied,none,none
evt_142,2026-03-25T10:00:24Z,sess_1032,user_014,shop-example.com,script_load,analytics.com,False,"['ip', 'ua', 'url']",,True,analytics,ads,denied,consent_bypass,high
evt_143,2026-03-25T10:04:54Z,sess_1032,user_014,shop-example.com,cookie_set,analytics.com,True,"['ip', 'url']",,True,essential,ads,denied,data_minimization_violation,low
evt_144,2026-03-25T10:00:43Z,sess_1032,user_014,shop-example.com,cookie_set,ads.net,True,"['ip', 'ua', 'url']",_ga,False,ads,analytics,denied,none,none
evt_145,2026-03-25T10:00:34Z,sess_1033,user_041,news-example.com,page_load,ads.net,True,"['ip', 'ua', 'url']",_ga,False,analytics,analytics,denied,none,none
evt_146,2026-03-25T10:01:29Z,sess_1033,user_041,news-example.com,script_load,tracker.io,False,"['ip', 'ua', 'url']",_gid,True,analytics,essential,denied,none,none
evt_147,2026-03-25T10:00:22Z,sess_1033,user_041,news-example.com,network_request,analytics.com,True,"['ip', 'url']",session_id,False,essential,ads,denied,undeclared_recipient,medium
evt_148,2026-03-25T10:01:37Z,sess_1033,user_041,news-example.com,page_load,ads.net,False,"['ip', 'ua']",session_id,False,analytics,ads,denied,none,none
evt_149,2026-03-25T10:03:45Z,sess_1033,user_041,news-example.com,network_request,tracker.io,False,"['ip', 'ua']",,False,ads,essential,denied,none,none
evt_150,2026-03-25T10:01:32Z,sess_1034,user_018,shop-example.com,network_request,ads.net,False,"['ip', 'ua']",_ga,False,essential,ads,denied,none,none
evt_151,2026-03-25T10:03:38Z,sess_1034,user_018,shop-example.com,script_load,analytics.com,False,"['ip', 'url']",,True,essential,ads,denied,none,none
evt_152,2026-03-25T10:02:20Z,sess_1034,user_018,shop-example.com,cookie_set,firstparty.com,True,"['ip', 'ua', 'url']",,False,essential,essential,denied,none,none
evt_153,2026-03-25T10:03:44Z,sess_1035,user_044,shop-example.com,cookie_set,firstparty.com,True,"['ip', 'ua']",_gid,False,ads,ads,granted,none,none
evt_154,2026-03-25T10:03:50Z,sess_1035,user_044,shop-example.com,cookie_set,ads.net,False,"['ip', 'url']",_ga,True,essential,ads,granted,undeclared_recipient,medium
evt_155,2026-03-25T10:02:07Z,sess_1035,user_044,shop-example.com,script_load,firstparty.com,True,"['ip', 'ua', 'url']",_gid,False,essential,ads,granted,none,none
evt_156,2026-03-25T10:02:13Z,sess_1035,user_044,shop-example.com,cookie_set,tracker.io,True,"['ip', 'ua', 'url']",session_id,False,analytics,analytics,granted,passive_data_leak,low
evt_157,2026-03-25T10:02:43Z,sess_1036,user_005,news-example.com,page_load,ads.net,True,"['ip', 'ua', 'url']",session_id,False,analytics,essential,granted,none,none
evt_158,2026-03-25T10:04:20Z,sess_1036,user_005,news-example.com,consent_update,analytics.com,True,"['ip', 'ua']",_gid,True,ads,analytics,granted,none,none
evt_159,2026-03-25T10:03:08Z,sess_1036,user_005,news-example.com,script_load,tracker.io,True,"['ip', 'ua', 'url']",_ga,True,ads,ads,granted,none,none
evt_160,2026-03-25T10:03:29Z,sess_1036,user_005,news-example.com,network_request,firstparty.com,True,"['ip', 'url']",_ga,False,ads,essential,granted,none,none
evt_161,2026-03-25T10:04:42Z,sess_1036,user_005,news-example.com,cookie_set,analytics.com,True,"['ip', 'url']",_ga,True,essential,analytics,granted,none,none
evt_162,2026-03-25T10:01:55Z,sess_1036,user_005,news-example.com,script_load,ads.net,False,"['ip', 'ua']",session_id,True,essential,essential,granted,undeclared_cookie,medium
evt_163,2026-03-25T10:04:57Z,sess_1037,user_009,media-example.com,cookie_set,analytics.com,True,"['ip', 'ua', 'url']",session_id,True,analytics,analytics,denied,none,none
evt_164,2026-03-25T10:04:55Z,sess_1037,user_009,media-example.com,page_load,ads.net,True,"['ip', 'ua', 'url']",,True,ads,essential,denied,none,none
evt_165,2026-03-25T10:04:07Z,sess_1037,user_009,media-example.com,cookie_set,analytics.com,False,"['ip', 'url']",,True,essential,analytics,denied,undeclared_cookie,low
evt_166,2026-03-25T10:01:13Z,sess_1038,user_029,news-example.com,consent_update,ads.net,False,"['ip', 'ua', 'url']",session_id,False,analytics,ads,denied,none,none
evt_167,2026-03-25T10:02:43Z,sess_1038,user_029,news-example.com,cookie_set,analytics.com,False,"['ip', 'ua']",session_id,False,analytics,analytics,denied,none,none
